Where was Jacob Henry Studer born?	Jacob Henry Studer. Jacob Henry Studer (26 February 1840 Columbus, Ohio - 2 August 1904 New York City) was a printer, lithographer, painter, and popular ornithologist active in Columbus, Ohio from the 1860s to the 1880s .	Columbus
Where was John Stephen born?	John Stephen. Born in Glasgow, Stephen became a welder's apprentice on leaving school .	Glasgow
Where was Georgina Willis born?	Georgina Willis. Georgina Willis is an award winning film director who was born in Australia and now lives in London .	Australia
Where was Stanley Corrsin born?	Stanley Corrsin. Corrsin was born on 3 April 1920 in Philadelphia, Pennsylvania .	Philadelphia
Where was Eduard Ender born?	Eduard Ender. Eduard Ender (3 March 1822 Rome -- 28 December 1883 London) was an Austrian painter .	Rome
Where was John Fisher born?	John Fisher. Born in Glasgow, Fisher is a graduate of the London Opera Centre, the Royal Academy of Music, and the University of Glasgow .	Glasgow
Where was Iago Dekanozishvili born?	Iago Dekanozishvili. Iago Dekanozishvili (born in 1951 in Tbilisi) is a Georgian artist, a graduate of the Tbilisi State Academy of Fine Arts .	Tbilisi
Where was Lucy Toulmin Smith born?	Lucy Toulmin Smith. Lucy Toulmin Smith was born at Boston, Massachusetts, USA, on 21 November 1838, of English parents, Joshua Toulmin Smith and his wife Martha .	Boston
Where was George Osborn born?	George Osborn. Osborn was born at Rochester in 1808 .	Rochester
Where was Leslie Hofton born?	Leslie Hofton. Born in Sheffield, Hofton began his career at Kiveton Park, before moving to Glossop via Worksop Town and Denaby United in April 1908 .	Sheffield
Where was Chiyoki Ikeda born?	Chiyoki Ikeda. Chiyoki Ikeda (born 3-11-1920 Honolulu, Hawaii; died 3-17.1960) was listed in the CIA Memorial Wall on May 14, 1997 .	Honolulu
Where was Geoffrey Nutter born?	Geoffrey Nutter. Geoffrey Nutter is an American poet, born in Sacramento and based in New York .	Sacramento
Where was Eyolf Kleven born?	Eyolf Kleven. Born in Copenhagen, Kleven played as a midfielder for AB from 1927 to 1944 .	Copenhagen
Where was Marvano born?	Marvano. Marvano and Haldeman also worked together on a comic adaption of the novel Buying time called Dallas Barr .	Belgium
Where was Naïma Azough born?	Naïma Azough. Naïma Azough (born April 1, 1972 in Asdif, Morocco) is a Dutch politician for GreenLeft .	Morocco
Where was Eugenia Popa born?	Eugenia Popa. Eugenia Popa (born September 10, 1973 in Bucharest, Romania) is a retired Romanian artistic gymnast .	Bucharest
Where was Douglas P. Fry born?	Douglas P. Fry. Douglas P Fry (born 20 September 1953 in Boston), is a docent and professor of anthropology, teacher in the Faculty of Social and Caring Sciences at Åbo Akademi University in Finland and adjunct research scientist in the Bureau of Applied Research in Anthropology at the University of Arizona .	Boston
Where was Hans Gefors born?	Hans Gefors. Hans Gefors (born 8 December 1952 in Stockholm) is a Swedish composer .	Stockholm
Where was Sohail Fazal born?	Sohail Fazal. Sohail Fazal (born November 11, 1967, Lahore, Punjab) is a former Pakistani cricketer who played two ODIs in 1989 .	Lahore
Where was James Johnson born?	James Johnson. Born in Virginia, Johnson completed preparatory studies .	Virginia
Where was Håvard Rem born?	Håvard Rem. Håvard Rem (born 7 February 1959 in Oslo) is a Norwegian author, living in Telemark .	Oslo
Where was Hubert Schiffer born?	Hubert Schiffer. Father Hubert Schiffer, born in Germany in 1915, was one of eight Jesuits who survived the bomb dropped on Hiroshima .	Germany
Where was Ivan Petch born?	Ivan Petch. Born in Concord, New South Wales, Petch attended Putney Primary School and Fort Street Boys High School before receiving his tertiary education in electrical engineering and music at Sydney Technical College .	Concord
Where was Guido Marzorati born?	Guido Marzorati. Guido Marzorati (born 1975, Venice, Italy) is a guitarist, singer, and songwriter .	Venice
Where was Sean Hickey born?	Sean Hickey. Sean Hickey is a composer, born in Detroit, Michigan, in 1970 and currently based in New York .	Detroit
Where was Hector de Castro born?	Hector de Castro. Born in Constantinople, de Castro was educated in Paris and Vienna .	Constantinople
Where was Lloyd Goffe born?	Lloyd Goffe. Lloyd Goffe (born 30 January 1913 in Reading - died 1984)was a motorcycle speedway rider who started racing at Custom House for the West Ham Hammers in 1937, transferring to the Harringay Racers that season .	Reading
Where was Alois Wachsman born?	Alois Wachsman. Alois Wachsman (14 May 1898 Prague - 16 May 1942 Jičín) was a Czech painter, stage designer and architect .	Prague
Where was Martin Connor born?	Martin Connor. Born in Trenton, New Jersey, Connor attended parochial schools as a child, graduating first in his class from Notre Dame High School in Lawrenceville .	Trenton
Where was Mohammad Hossein Barkhah born?	Mohammad Hossein Barkhah. Mohammad Hossein Barkhah (, born 24 January 1977 in Tehran) is a retired weightlifting champion in Iran .	Tehran
